SampleId	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
86_SD7537_S139	245	220	1535	308	160	299	538	147	20488883
87_SD7538_S140	712	712	4281	967	490	933	1602	405	60168416
88_SD7539_S141	114	94	824	144	82	166	320	54	12050388
89_SD7540_S142	60	67	556	78	36	114	198	17	8029360
90_SD7541_S143	103	137	959	157	94	155	360	47	15427687
91_SD7542_S144	351	329	2165	388	219	425	731	168	22999463
93_SD7544_S146	138	111	982	193	80	169	357	58	13813366
94_SD7545_S147	304	289	1875	406	177	365	756	117	30773388
95_SD7546_S148	143	162	1029	176	80	187	363	65	15384523
96_SD7547_S149	67	58	545	80	62	97	223	23	7610304
97_SD7548_S150	540	551	3353	665	304	633	1226	185	71960988
98_SD7549_S151	156	153	1228	229	92	217	466	62	18819383
99_SD7550_S152	103	126	835	155	85	140	247	55	10299160
100_SD7551_S153	248	286	1645	342	173	319	556	159	18812126
101_SD7552_S154	156	133	1137	215	114	230	411	85	12812863
102_SD7553_S155	108	101	734	132	67	144	264	53	9022561
103_SD7554_S156	97	79	628	113	58	105	225	46	8243891
104_SD7555_S157	161	144	1043	181	108	164	467	46	16062801
105_SD7556_S158	108	113	820	154	81	151	304	34	14910947
106_SD7557_S159	363	353	2506	488	288	447	935	79	47006924
107_SD7558_S160	59	74	447	80	42	89	178	15	8820948
108_SD7559_S161	103	108	862	142	86	174	376	31	21344865
109_SD7560_S162	184	202	1371	261	156	259	554	64	27557694
110_SD7561_S163	79	59	474	81	35	56	150	14	10453537
111_SD7562_S164	96	107	785	143	55	131	319	39	14989596
112_SD7563_S165	223	209	1562	264	134	228	567	100	30687279
113_SD7564_S166	173	172	1134	219	108	187	380	103	11793351
114_SD7565_S167	115	126	905	179	86	155	326	51	12394283
115_SD7566_S168	103	95	605	150	73	125	294	27	9702263
116_SD7567_S169	186	153	1156	210	118	209	516	54	23194224
117_SD7568_S170	135	168	1119	202	106	195	429	51	21141227
118_SD7569_S171	20	23	171	33	11	11	69	10	3036380
119_SD7570_S172	58	59	542	106	52	105	213	11	11946996
120_SD7571_S173	149	167	1268	245	122	192	506	39	30648360
121_SD7572_S174	204	231	1364	274	153	213	570	51	26982925
122_SD7573_S175	136	137	1088	174	86	182	438	55	22388470
